Datetime,Open,High,Low,Close
2024-07-23 00:00:00+00:00,2.9993909265613183e-05,2.9993909265613183e-05,2.9321990950847976e-05,2.9321990950847976e-05
2024-07-23 04:00:00+00:00,2.9321019610506482e-05,2.942743776657153e-05,2.797004890453536e-05,2.8356244001770392e-05
2024-07-23 08:00:00+00:00,2.8368658604449593e-05,2.90390380541794e-05,2.8310734705883078e-05,2.8619224394788034e-05
2024-07-23 12:00:00+00:00,2.8611806556000374e-05,2.898392813222017e-05,2.7908143238164485e-05,2.8349988497211598e-05
2024-07-23 16:00:00+00:00,2.8322012440185063e-05,2.8322012440185063e-05,2.7439573386800475e-05,2.7860698537551798e-05
2024-07-23 20:00:00+00:00,2.789054451568518e-05,2.865971691790037e-05,2.789054451568518e-05,2.830168159562163e-05
2024-07-24 00:00:00+00:00,2.8248241505934857e-05,2.8490052500274032e-05,2.7955851692240685e-05,2.8196294806548394e-05
2024-07-24 04:00:00+00:00,2.817057065840345e-05,2.8345248210825957e-05,2.7818017770186998e-05,2.8345248210825957e-05
2024-07-24 08:00:00+00:00,2.840325396391563e-05,2.8840529921581037e-05,2.8349351850920357e-05,2.8482409106800333e-05
2024-07-24 12:00:00+00:00,2.8415117412805557e-05,2.9598953915410675e-05,2.827422576956451e-05,2.874761412385851e-05
2024-07-24 16:00:00+00:00,2.8608463253476657e-05,2.9295633794390596e-05,2.823608519975096e-05,2.8370435757096857e-05
2024-07-24 20:00:00+00:00,2.839625631168019e-05,2.868239243980497e-05,2.7199417672818527e-05,2.7432364731794223e-05
2024-07-25 00:00:00+00:00,2.7479580239742063e-05,2.7566789867705666e-05,2.6358415198046714e-05,2.666187174327206e-05
2024-07-25 04:00:00+00:00,2.6677418645704165e-05,2.692593989195302e-05,2.6520408937358297e-05,2.664476414793171e-05
2024-07-25 08:00:00+00:00,2.6610303393681534e-05,2.7293997845845297e-05,2.6610303393681534e-05,2.6740317480289377e-05
2024-07-25 12:00:00+00:00,2.6730123863671906e-05,2.7354553822078742e-05,2.6010242436314e-05,2.713372123253066e-05
2024-07-25 16:00:00+00:00,2.7158957891515456e-05,2.759219569270499e-05,2.6286104912287556e-05,2.6355595764471218e-05
2024-07-25 20:00:00+00:00,2.6380264898762107e-05,2.7423035135143436e-05,2.5534003725624643e-05,2.702838901313953e-05
2024-07-26 00:00:00+00:00,2.6998577595804818e-05,2.8695372748188674e-05,2.6998577595804818e-05,2.808171120705083e-05
2024-07-26 04:00:00+00:00,2.8096903406549245e-05,2.844846312655136e-05,2.788907295325771e-05,2.792064697132446e-05
2024-07-26 08:00:00+00:00,2.7854042855324224e-05,2.8271602786844596e-05,2.7732561648008414e-05,2.8032078262185678e-05
2024-07-26 12:00:00+00:00,2.8055308575858362e-05,2.8730790290865116e-05,2.7754631446441635e-05,2.8219652449479327e-05
2024-07-26 16:00:00+00:00,2.8188742362544872e-05,2.878714985854458e-05,2.80382446362637e-05,2.8612494133994915e-05
2024-07-26 20:00:00+00:00,2.8607049898710102e-05,2.8816253689001314e-05,2.8228521841811016e-05,2.858921288861893e-05
2024-07-27 00:00:00+00:00,2.864324596885126e-05,2.8861088139819913e-05,2.830605262715835e-05,2.853199293895159e-05
2024-07-27 04:00:00+00:00,2.8511456548585556e-05,2.9483942853403278e-05,2.8511456548585556e-05,2.945117921626661e-05
2024-07-27 08:00:00+00:00,2.930849586846307e-05,2.9947088478365913e-05,2.930849586846307e-05,2.9846316465409473e-05
2024-07-27 12:00:00+00:00,2.9808696126565337e-05,3.029301115020644e-05,2.881921136577148e-05,2.890969699365087e-05
2024-07-27 16:00:00+00:00,2.8946280508534983e-05,2.8946280508534983e-05,2.7883579605259e-05,2.8170861696708016e-05
2024-07-27 20:00:00+00:00,2.818764369294513e-05,2.905085784732364e-05,2.7552210667636245e-05,2.836710882547777e-05
2024-07-28 00:00:00+00:00,2.8300513804424554e-05,2.845752715074923e-05,2.7901613066205755e-05,2.837265310517978e-05
2024-07-28 04:00:00+00:00,2.827790922310669e-05,2.835260056599509e-05,2.7891308491234668e-05,2.8043874408467673e-05
2024-07-28 08:00:00+00:00,2.8118536647525616e-05,2.8627888241317123e-05,2.7828265956486575e-05,2.8497624953160994e-05
2024-07-28 12:00:00+00:00,2.8442529583116993e-05,2.863615009118803e-05,2.82236906059552e-05,2.8380149160511792e-05
2024-07-28 16:00:00+00:00,2.8342295991024002e-05,2.8581824153661728e-05,2.8265252694836818e-05,2.847622636181768e-05
2024-07-28 20:00:00+00:00,2.8509117328212596e-05,2.8553591619129293e-05,2.7623227651929483e-05,2.8038617529091425e-05
2024-07-29 00:00:00+00:00,2.801560731313657e-05,2.9322794944164343e-05,2.7992797186016105e-05,2.8906053557875566e-05
2024-07-29 04:00:00+00:00,2.89481868094299e-05,2.9317121516214684e-05,2.8794205718440935e-05,2.9095868740114383e-05
2024-07-29 08:00:00+00:00,2.9070599339320324e-05,2.9197570256656036e-05,2.8703780117211863e-05,2.887224400183186e-05
2024-07-29 12:00:00+00:00,2.8781425498891622e-05,2.8873862902401015e-05,2.765646240732167e-05,2.79134856100427e-05
2024-07-29 16:00:00+00:00,2.7885229428648017e-05,2.802538438118063e-05,2.7581019821809605e-05,2.8001815735478885e-05
2024-07-29 20:00:00+00:00,2.8003487386740744e-05,2.8021320758853108e-05,2.691293047973886e-05,2.691293047973886e-05
2024-07-30 00:00:00+00:00,2.6945512217935175e-05,2.7305764888296835e-05,2.6845073080039583e-05,2.716933704505209e-05
2024-07-30 04:00:00+00:00,2.7157537260791287e-05,2.7440384656074457e-05,2.708112879190594e-05,2.7378664526622742e-05
2024-07-30 08:00:00+00:00,2.7373760531190783e-05,2.7932095690630376e-05,2.7029487682739273e-05,2.7082287488155998e-05
2024-07-30 12:00:00+00:00,2.7032639991375618e-05,2.708019019337371e-05,2.6637482733349316e-05,2.6937339498545043e-05
2024-07-30 16:00:00+00:00,2.6903579055215232e-05,2.6903579055215232e-05,2.5830015147221275e-05,2.5907298550009727e-05
2024-07-30 20:00:00+00:00,2.5897319574141875e-05,2.619610859255772e-05,2.571111144789029e-05,2.596406739030499e-05
2024-07-31 00:00:00+00:00,2.5940129489754327e-05,2.6330209948355332e-05,2.58282834693091e-05,2.6153764338232577e-05
2024-07-31 04:00:00+00:00,2.614062395878136e-05,2.6586989406496286e-05,2.5779445422813296e-05,2.631388633744791e-05
2024-07-31 08:00:00+00:00,2.627087087603286e-05,2.6361878553871065e-05,2.6012676244135946e-05,2.6091089239344e-05
2024-07-31 12:00:00+00:00,2.607529313536361e-05,2.680131365195848e-05,2.607529313536361e-05,2.6483668989385478e-05
2024-07-31 16:00:00+00:00,2.6386533136246726e-05,2.669194873305969e-05,2.529654375393875e-05,2.529654375393875e-05
2024-07-31 20:00:00+00:00,2.5316137907793745e-05,2.5316137907793745e-05,2.450031206535641e-05,2.4560564270359464e-05
2024-08-01 00:00:00+00:00,2.4523871616111137e-05,2.4641918571433052e-05,2.418525946268346e-05,2.4271475922432728e-05
2024-08-01 04:00:00+00:00,2.4249795387731865e-05,2.4291173758683726e-05,2.368737659708131e-05,2.3829759811633267e-05
2024-08-01 08:00:00+00:00,2.3803302610758692e-05,2.4051925720414147e-05,2.3627933842362836e-05,2.3808481273590587e-05
2024-08-01 12:00:00+00:00,2.3872107703937218e-05,2.4238135665655136e-05,2.3129112378228456e-05,2.3256265194504522e-05
2024-08-01 16:00:00+00:00,2.3130040062824264e-05,2.3175076421466656e-05,2.2543737941305153e-05,2.3175076421466656e-05
2024-08-01 20:00:00+00:00,2.3158547264756635e-05,2.4952849344117567e-05,2.3156393581302837e-05,2.494780892448034e-05
2024-08-02 00:00:00+00:00,2.4998482331284322e-05,2.5271292543038726e-05,2.3997223252081312e-05,2.4345341444131918e-05
2024-08-02 04:00:00+00:00,2.4339744413737208e-05,2.434107955195941e-05,2.3079304810380563e-05,2.348683301534038e-05
2024-08-02 08:00:00+00:00,2.341647086723242e-05,2.4222179490607232e-05,2.3234510081238113e-05,2.420903547317721e-05
2024-08-02 12:00:00+00:00,2.4109729565680027e-05,2.484309152350761e-05,2.2856351279187948e-05,2.3475071429857053e-05
2024-08-02 16:00:00+00:00,2.334932105441112e-05,2.334932105441112e-05,2.2202240870683454e-05,2.2441914552473463e-05
2024-08-02 20:00:00+00:00,2.2485088265966624e-05,2.2868975065648556e-05,2.2133619495434687e-05,2.235933607153129e-05
2024-08-03 00:00:00+00:00,2.2372058083419688e-05,2.2676891603623517e-05,2.1775023924419656e-05,2.243452036054805e-05
