Datetime,Open,High,Low,Close
2024-07-23 09:00:00+09:00,991.25,995.5,989.25,991.0
2024-07-23 13:00:00+09:00,991.0,992.25,988.25,992.25
2024-07-24 09:00:00+09:00,985.25,990.5,981.0,981.25
2024-07-24 13:00:00+09:00,981.25,981.5,972.75,974.75
2024-07-25 09:00:00+09:00,950.0,951.5,938.75,945.75
2024-07-25 13:00:00+09:00,946.0,950.25,943.75,946.0
2024-07-26 09:00:00+09:00,945.25,953.25,936.75,952.75
2024-07-26 13:00:00+09:00,952.5,954.75,943.5,946.0
2024-07-29 09:00:00+09:00,959.0,973.0,950.75,964.75
2024-07-29 13:00:00+09:00,965.0,968.0,964.0,964.25
2024-07-30 09:00:00+09:00,951.5,969.25,946.0,956.0
2024-07-30 13:00:00+09:00,955.75,961.5,952.25,961.5
2024-07-31 09:00:00+09:00,953.0,967.5,941.75,963.25
2024-07-31 13:00:00+09:00,963.75,971.25,933.75,944.5
2024-08-01 09:00:00+09:00,901.0,909.25,892.25,899.0
2024-08-01 13:00:00+09:00,899.0,907.25,896.75,906.5
2024-08-02 09:00:00+09:00,870.75,873.5,840.75,845.75
2024-08-02 13:00:00+09:00,846.25,847.25,832.0,838.75
2024-08-05 09:00:00+09:00,760.0,775.0,734.0,735.625
2024-08-05 13:00:00+09:00,735.625,736.375,668.875,690.5
2024-08-06 09:00:00+09:00,770.5,776.25,737.75,760.75
2024-08-06 13:00:00+09:00,761.0,766.25,725.0,744.75
2024-08-07 09:00:00+09:00,739.0,813.25,734.75,803.0
2024-08-07 13:00:00+09:00,803.25,816.25,792.0,795.25
2024-08-08 09:00:00+09:00,782.0,796.25,776.5,784.0
2024-08-08 13:00:00+09:00,784.0,785.75,772.5,777.25
2024-08-09 09:00:00+09:00,795.0,804.75,790.0,796.0
2024-08-09 13:00:00+09:00,796.25,797.0,776.5,793.0
2024-08-13 09:00:00+09:00,823.0,823.0,803.25,808.5
2024-08-13 13:00:00+09:00,808.25,815.25,807.5,814.5
2024-08-14 09:00:00+09:00,824.75,836.5,815.25,827.25
2024-08-14 13:00:00+09:00,827.5,831.25,821.5,828.25
2024-08-15 09:00:00+09:00,830.25,853.25,828.75,849.5
2024-08-15 13:00:00+09:00,849.75,850.25,840.5,844.5
2024-08-16 09:00:00+09:00,876.25,876.25,857.25,865.5
2024-08-16 13:00:00+09:00,865.75,872.5,862.25,871.0
2024-08-19 09:00:00+09:00,862.5,868.25,855.25,856.25
2024-08-19 13:00:00+09:00,856.5,858.25,847.0,848.0
2024-08-20 09:00:00+09:00,857.5,860.75,838.0,847.0
2024-08-20 13:00:00+09:00,846.75,849.0,843.25,843.25
2024-08-21 09:00:00+09:00,827.75,841.25,824.5,839.0
2024-08-21 13:00:00+09:00,839.25,841.0,836.0,839.0
2024-08-22 09:00:00+09:00,837.25,841.0,831.5,834.25
2024-08-22 13:00:00+09:00,834.5,840.5,833.0,840.5
2024-08-23 09:00:00+09:00,840.75,845.25,833.5,836.5
2024-08-23 13:00:00+09:00,836.5,843.25,835.75,843.25
2024-08-26 09:00:00+09:00,844.5,847.0,836.25,837.0
2024-08-26 13:00:00+09:00,837.0,838.5,836.25,837.5
2024-08-27 09:00:00+09:00,837.5,843.25,828.0,842.5
2024-08-27 13:00:00+09:00,842.25,843.5,839.5,840.5
2024-08-28 09:00:00+09:00,839.5,841.5,836.25,840.75
2024-08-28 13:00:00+09:00,840.75,844.5,840.0,844.5
2024-08-29 09:00:00+09:00,846.0,852.0,839.5,851.0
2024-08-29 13:00:00+09:00,851.0,852.75,850.0,852.5
2024-08-30 09:00:00+09:00,854.5,864.25,852.75,863.0
2024-08-30 13:00:00+09:00,863.25,864.5,858.25,861.5
2024-09-02 09:00:00+09:00,872.5,873.25,858.75,863.0
2024-09-02 13:00:00+09:00,862.75,866.5,860.0,866.5
2024-09-03 09:00:00+09:00,867.75,874.75,864.25,867.25
2024-09-03 13:00:00+09:00,867.25,867.25,863.5,863.75
2024-09-04 09:00:00+09:00,830.0,840.25,826.25,829.5
2024-09-04 13:00:00+09:00,829.5,832.25,820.75,825.0
2024-09-05 09:00:00+09:00,807.5,837.5,802.0,823.75
2024-09-05 13:00:00+09:00,824.0,825.5,815.75,823.25
2024-09-06 09:00:00+09:00,816.75,820.75,805.25,811.0
2024-09-06 13:00:00+09:00,811.0,812.0,803.75,811.25
2024-09-09 09:00:00+09:00,780.0,797.75,778.0,794.25
2024-09-09 13:00:00+09:00,794.5,804.5,792.75,801.75
2024-09-10 09:00:00+09:00,800.75,812.0,800.75,806.0
2024-09-10 13:00:00+09:00,806.0,806.75,797.75,798.25
2024-09-11 09:00:00+09:00,780.75,793.5,778.25,783.25
2024-09-11 13:00:00+09:00,783.25,784.25,773.0,784.25
2024-09-12 09:00:00+09:00,798.5,800.25,785.5,789.5
2024-09-12 13:00:00+09:00,789.75,795.0,788.5,792.75
2024-09-13 09:00:00+09:00,793.5,795.25,783.75,787.75
2024-09-13 13:00:00+09:00,787.75,794.0,785.25,789.0
2024-09-17 09:00:00+09:00,787.5,792.5,766.0,771.5
2024-09-17 13:00:00+09:00,771.25,780.75,769.0,779.5
2024-09-18 09:00:00+09:00,794.75,794.75,776.5,777.25
2024-09-18 13:00:00+09:00,777.5,785.25,776.0,783.5
2024-09-19 09:00:00+09:00,798.75,809.25,796.75,808.25
2024-09-19 13:00:00+09:00,808.25,809.75,802.75,804.25
2024-09-20 09:00:00+09:00,829.5,829.5,814.0,818.25
2024-09-20 13:00:00+09:00,818.0,819.75,812.25,812.25
2024-09-24 09:00:00+09:00,825.0,826.0,815.5,820.75
2024-09-24 13:00:00+09:00,820.5,822.25,816.25,816.25
2024-09-25 09:00:00+09:00,819.0,825.75,815.25,822.75
2024-09-25 13:00:00+09:00,822.5,824.0,817.25,817.25
2024-09-26 09:00:00+09:00,823.25,831.25,817.25,828.25
2024-09-26 13:00:00+09:00,828.0,836.25,824.25,836.0
2024-09-27 09:00:00+09:00,833.25,833.5,820.25,823.5
2024-09-27 13:00:00+09:00,823.25,833.75,823.0,832.25
2024-09-30 09:00:00+09:00,786.0,806.5,784.5,799.0
2024-09-30 13:00:00+09:00,799.0,799.5,792.0,798.5
2024-10-01 09:00:00+09:00,802.25,836.25,800.0,836.0
2024-10-01 13:00:00+09:00,836.25,837.25,829.5,829.5
2024-10-02 09:00:00+09:00,825.0,835.75,820.75,832.25
2024-10-02 13:00:00+09:00,832.5,832.75,821.75,828.75
2024-10-03 09:00:00+09:00,848.5,849.75,837.5,840.25
2024-10-03 13:00:00+09:00,840.25,841.75,835.0,838.0
2024-10-04 09:00:00+09:00,844.5,848.0,836.0,843.25
2024-10-04 13:00:00+09:00,843.25,847.25,842.25,846.5
2024-10-07 09:00:00+09:00,865.0,865.75,852.75,858.75
2024-10-07 13:00:00+09:00,858.5,860.75,855.5,856.0
2024-10-08 09:00:00+09:00,847.5,850.0,831.75,834.0
2024-10-08 13:00:00+09:00,833.75,835.5,830.25,834.5
2024-10-09 09:00:00+09:00,843.0,845.75,823.25,825.75
2024-10-09 13:00:00+09:00,825.75,829.5,823.0,825.25
2024-10-10 09:00:00+09:00,839.5,839.5,829.5,833.0
2024-10-10 13:00:00+09:00,832.75,835.0,831.75,833.0
2024-10-11 09:00:00+09:00,840.25,841.25,832.0,832.75
2024-10-11 13:00:00+09:00,832.75,834.25,828.5,829.5
2024-10-15 09:00:00+09:00,835.0,835.75,821.0,826.0
2024-10-15 13:00:00+09:00,826.0,826.5,821.25,821.25
2024-10-16 09:00:00+09:00,812.5,827.75,807.0,821.5
2024-10-16 13:00:00+09:00,821.5,826.75,821.5,823.75
2024-10-17 09:00:00+09:00,828.0,830.25,822.5,823.25
2024-10-17 13:00:00+09:00,823.25,826.0,821.0,821.0
2024-10-18 09:00:00+09:00,825.25,829.0,821.75,823.25
2024-10-18 13:00:00+09:00,823.5,826.25,822.0,822.0
